puja	bid
aceptar	OK
autor	author
versión completa del artículo	full version of the article
meta revisión	goal review
miembro del comité de programa	Member of the program Committee
conferencia	Conference
administrador	Administrator
miembro de la conferencia	Member of the Conference
área temática	thematic area
decisión	decision
documento	document
revisor	Reviewer
revisor externo	external reviewer
meta revisor	Meta reviewer
artículo	Article
presidente del comité de programa	Chairman of the program Committee
resumen del artículo	Summary of the article
vice presidente	Vice President
presidente de la conferencia	President of the Conference
coautor	co-author
autor, no revisor	author, no reviewer
comité de programa	Program Committee
usuario	user
presidente	President
preferencia	preference
rechazar	reject
revisión	review
persona	person
asigna revisor externo	assign external reviewer
es miembro del comité de programa	is a member of the program Committee
permite reunión virtual	allows virtual meeting
envía el artículo	sends the item
inicia la puja de los artículos	starts the bidding of articles
asignado por el revisor	assigned by the reviewer
introduce criterios de revisión	enters review criteria
los criterios de revisión han sido introducidos por	review criteria have been introduced by
la puja de los revisores ha sido iniciada por	bids from reviewers has been initiated by
detalles introducidos por	details entered by
asigna un número máximo de artículos a	assigns a maximum number of items to
rechazado por	rejected by
redacta el artículo	write article
redacta la revisión	write review
asignado por el administrador	assigned by the administrator
es miembro de la conferencia	is a member of the Conference
modificada por	modified by
asignar revisor	assign reviewer
añadido por	added by
asignado a	assigned to
tiene miembro de la conferencia	has member Conference
tiene área temática	has subject area
gestiona las herramientas para la asignación de artículos	It manages the tools to the allocation of items
la asignación de artículos ha sido finalizada por	the allocation of articles has been completed by
tiene autor	has author
finaliza la asignación de artículos	ends the allocation of items
tiene puja	has bid
leído por el meta revisor	read by reviewer meta
tiene decisión	decision has
reunión virtual mediante	using virtual meeting
lee el artículo	read the article
las copias en papel de los manifiestos de envío han sido impresas por	the shipping manifests paper copies have been printed by
rechaza el artículo	rejects the article
tiene coautor	has co-authored
modifica la puja	modifies the bid
las herramientas para la asignación de artículos han sido gestionadas por	tools for the allocation of items have been managed by
es coautor de un artículo	is co-author of an article
url del logotipo	URL of the logo
acepta entregas en papel	accepts deliveries on paper
url de la página web	URL of the web page
título	title
ha sido asignado a	It has been assigned to
escrito por	written by
ha señalado conflicto de intereses	noted conflict of interest
tiene miembro del comité de programa	has the program Committee Member
tiene conflicto de intereses	has conflict of interest
añade miembro de comité de programa	added member of Program Committee
aceptado por	accepted by
copia en papel de los manifiestos de envío	copy paper from shipping manifests
acepta el artículo	accept article
finaliza revisión	end review
introduce detalles de la conferencia	Enter details of the Conference
leído por el revisor	read by the author
nombre	name
correo electrónico	email
número máximo de artículos	maximum number of items
fecha	date
identificador del artículo	item identifier
revisiones por artículo	revisions per article
contribución regular	regular contribution
participante de la conferencia	participant of the Conference
comité directivo	Steering Committee
conferencia www	www Conference
tema	theme
editor	Editor
volumen de la conferencia	Conference volume
póster	poster
persona que paga las tasas de la conferencia	person who paid the Conference fees
charla invitada	invited
contribución a la conferencia	contribution to the Conference
resumen ampliado	Overview extended
participante activo en la conferencia	active participant in the Conference
información para los participantes	information for participants
contribución enviada	submitted contribution
persona registrada a la conferencia	person registered to the Conference
documento de la conferencia	Conference document
organizador	Organizer
contribución rechazada	rejected contribution
tasas de la conferencia	the Conference rates
contribución lista para su envío definitivo	ready for final shipment contribution
solicitud de participación	request to participate
taller	Workshop
participante pasivo en la conferencia	passive participant in the Conference
persona que envía una contribución a la conferencia	person who sends a contribution to the Conference
coautor de la contribución	co-author of the contribution
presentación	presentation
comité	Committee
fechas importantes	important dates
comité organizador	Organizing Committee
parte de la conferencia	part of the Conference
anuncio de la conferencia	announcement of the Conference
organización	Organization
persona que envía una solicitud a la conferencia	person who sends a request to the Conference
experiencia del revisor	experience of the reviewer
solicitud de envío de artículos	request for submission
contribución por escrito	contribution in writing
actas de la conferencia	proceedings of the Conference
vicepresidente	Vice President
primer autor de la contribución	first author's contribution
persona que paga con retraso las tasas de la conferencia	person paying late fees of the Conference
tutorial	tutorial
persona que hace un pago anticipado de las tasas de la conferencia	person making an advance payment of the fees of the Conference
contribución aceptada	accepted contribution
preferencia del revisor	the reviewer preference
panel	Panel
contribución revisada	revised contribution
organizador de los workshops	the workshops Organizer
resumen	Overview
conferenciante invitado	guest speaker
era comité directivo de	was Steering Committee of
tiene autores	has authors
tiene referencias o experiencia en la revisión de artículos	you have references or experience in the review of articles
tiene un comité	has a Committee
era comité organizador de	was organizing Committee of
tiene un tema o una contribución enviada	you have a theme or a submitted contribution
tiene contribuciones	has contributions
ha presentado una contribución	He has presented a contribution
tiene un revisor	has a reviewer
era vicepresidente del comité de	was Vice-President of the Committee of
era organizador de un panel de talleres de	It was a panel of workshops organizer of
tiene un comité organizador	has an organizing Committee
tiene un comité directivo	has a Steering Committee
tiene miembros	has members
tiene partes	has parts
pertenece a una referencia de la revisión	It belongs to a reference of the review
dado por	given by
problemas	problems
tiene tema de taller-tutorial	has theme workshop-tutorial
se le ha asignado una referencia  de revisiones	you have been assigned a reference of revisions
es la primera parte de	is the first part of
pertenece a los revisores	belongs to the reviewers
revisiones	reviews
tiene talleres	has workshops
forma parte de los volúmenes de la conferencia	It is part of the volumes of the Conference
invitado por	invited by
era comité de programa de	was Program Committee of
tiene un vicepresidente de comité	have a Vice-Chairperson of Committee
enviado a	sent to
era presidente del comité de	was Chairman of the Committee of
era comité de	was Committee of
tiene un comité de programa	have a program Committee
tiene tutoriales	has tutorials
era miembro de	was a member of
tiene organizador de taller-tutorial	has organizing workshop-tutorial
da presentaciones	give presentations
tiene un presidente de comité	has a President's Committee
tiene un editor	has an editor
tiene experiencia en la revisión de artículos	He has experience in the review of articles
contribuye	contributes
corevisores invitados	invited corevisores
es tema de parte de la conferencia	It is part of the Conference theme
tiene nombre de pila	has first name
tiene apellidos	have last names
es fecha de inicio	is start date
tiene url	has url
tiene fechas imprortantes	has dates imprortantes
pertenece al volumen de la conferencia	belongs to the Conference volume
tiene resumen	has overview
tiene paneles	has panels
tiene correo electrónico	has email
tiene experiencia	has experience
es fecha de envío de versiones definitivas de artículos	It is the date of final versions of articles
tiene volumen	has volume
tiene grado	has degree
